,accession,pred_prob,protein,protein_probability,mRNA,y
86,YBR071W,0.18012481927871704,YBR071W,0.0,0.91,0
87,YDR081C,0.3995074927806854,YDR081C,0.0,0.82,0
88,YAR068W,0.28370431065559387,YAR068W,0.0,0.45,0
89,YKL098W,0.37587517499923706,YKL098W,0.0,0.36,0
90,YDR212W,0.759361982345581,YDR212W,0.54,2.79,1
91,YBR020W,0.5169916749000549,YBR020W,0.0,0.55,0
92,YPL235W,0.6054273247718811,YPL235W,0.0,2.0,1
93,YKL029C,0.6002077460289001,YKL029C,0.0,2.77,1
94,YML009C,0.2980707585811615,YML009C,0.0,2.0,0
95,YGL206C,0.703461229801178,YGL206C,0.76,1.83,1
96,YFL045C,0.8037840127944946,YFL045C,0.71,8.54,1
97,YER150W,0.3655007481575012,YER150W,0.0,0.96,0
98,YGL229C,0.24999317526817322,YGL229C,0.0,0.55,0
99,YCR076C,0.25193020701408386,YCR076C,0.0,0.98,0
100,YNL032W,0.42274078726768494,YNL032W,0.0,2.03,0
101,YOR187W,0.5216105580329895,YOR187W,0.42,4.72,1
102,YML071C,0.4269874691963196,YML071C,0.0,0.97,1
103,YOR023C,0.23789991438388824,YOR023C,0.0,0.81,0
104,YDR246W,0.23236554861068726,YDR246W,0.0,0.84,0
105,YOL058W,0.6149250268936157,YOL058W,0.0,2.9,1
106,YNL091W,0.6175581812858582,YNL091W,0.64,0.9,0
107,YCR018C,0.3766164183616638,YCR018C,0.0,1.11,0
108,YDR430C,0.21854296326637268,YDR430C,0.0,1.3,1
109,YMR165C,0.7181838750839233,YMR165C,0.93,1.33,1
110,YLR039C,0.3001989722251892,YLR039C,0.28,1.35,0
111,YKL074C,0.3437264859676361,YKL074C,0.0,0.88,1
112,YGR093W,0.4620877504348755,YGR093W,0.0,1.01,0
113,YKR046C,0.2490588277578354,YKR046C,0.0,0.73,1
114,YJL008C,0.6000738143920898,YJL008C,0.0,2.63,1
115,YNL099C,0.34924477338790894,YNL099C,0.0,1.4,0
116,YGR255C,0.9247763156890869,YGR255C,1.0,1.07,1
117,YBL002W,0.8010435104370117,YBL002W,0.8,10.55,1
118,YNL171C,0.30688974261283875,YNL171C,0.0,0.47,0
119,YOL106W,0.314455509185791,YOL106W,0.0,1.03,0
120,YDR181C,0.31434646248817444,YDR181C,0.0,0.7,0
121,YLR045C,0.4845872223377228,YLR045C,0.0,0.85,1
122,YAL040C,0.4596311151981354,YAL040C,0.0,1.35,0
123,YKL145W,0.5857664346694946,YKL145W,0.0,3.93,1
124,YDR257C,0.24915711581707,YDR257C,0.0,0.85,0
125,YLR204W,0.21698425710201263,YLR204W,0.0,1.53,0
126,YPL183C,0.3426531255245209,YPL183C,0.0,1.3,0
127,YKR043C,0.9276024699211121,YKR043C,0.99,3.58,1
128,YNL030W,0.380910724401474,YNL030W,0.0,16.81,1
129,YGR128C,0.25098344683647156,YGR128C,0.0,2.05,1
130,YDR443C,0.34186747670173645,YDR443C,0.31,0.91,0
131,YER043C,0.9447218179702759,YER043C,1.0,18.8,1
132,YBR286W,0.5924974679946899,YBR286W,0.82,8.52,1
133,YML106W,0.5962300896644592,YML106W,0.0,9.35,1
134,YGL100W,0.3803603947162628,YGL100W,0.0,2.26,0
135,YPL217C,0.5769938826560974,YPL217C,0.0,1.35,1
136,YPL110C,0.6752919554710388,YPL110C,0.81,0.76,1
137,YPL082C,0.9365069270133972,YPL082C,0.96,1.14,1
138,YMR205C,0.9179399609565735,YMR205C,1.0,4.74,1
139,YMR027W,0.3403623402118683,YMR027W,0.0,1.61,1
140,YPR102C,0.6302987337112427,YPR102C,0.0,31.29,1
141,YOL043C,0.6378540992736816,YOL043C,0.0,0.89,0
142,YFL024C,0.5765896439552307,YFL024C,0.21,1.09,0
143,YCL016C,0.4216732680797577,YCL016C,0.0,0.65,0
144,YDR179C,0.4356186091899872,YDR179C,0.0,0.81,0
145,YPR141C,0.5125418305397034,YPR141C,0.0,0.79,1
146,YDR022C,0.5257604718208313,YDR022C,0.0,0.81,0
147,YER050C,0.18301132321357727,YER050C,0.0,1.7,0
148,YER012W,0.40607398748397827,YER012W,0.0,5.09,1
149,YGR136W,0.39181452989578247,YGR136W,0.0,1.8,1
150,YJL030W,0.437216192483902,YJL030W,0.0,1.7,0
151,YPL199C,0.4268903136253357,YPL199C,0.0,2.18,1
152,YPL191C,0.5681775212287903,YPL191C,0.0,0.67,0
153,YPL155C,0.6045203804969788,YPL155C,0.75,0.51,0
154,YEL061C,0.3828256130218506,YEL061C,0.0,1.54,0
155,YBL106C,0.48103082180023193,YBL106C,0.0,0.52,0
156,YDR469W,0.47997501492500305,YDR469W,0.0,1.16,0
157,YLR346C,0.17884208261966705,YLR346C,0.0,2.04,0
158,YEL014C,0.28777042031288147,YEL014C,0.0,1.11,0
159,YDL157C,0.18145644664764404,YDL157C,0.0,4.15,0
160,YHR083W,0.3939989507198334,YHR083W,0.0,2.05,0
161,YIL112W,0.2039942592382431,YIL112W,0.0,2.2,0
162,YPL034W,0.40921908617019653,YPL034W,0.0,1.68,0
163,YOL051W,0.3620801568031311,YOL051W,0.0,1.38,1
164,YMR211W,0.371815949678421,YMR211W,0.0,0.86,0
165,YKR023W,0.41332170367240906,YKR023W,0.0,0.59,0
166,YDR071C,0.8885098695755005,YDR071C,0.79,5.98,1
167,YOR074C,0.5768235325813293,YOR074C,0.0,0.84,0
168,YJR099W,0.6378540992736816,YJR099W,0.0,0.75,0
169,YDL045C,0.5761236548423767,YDL045C,0.0,0.86,0
170,YMR108W,0.9356550574302673,YMR108W,0.99,2.56,1
171,YCR014C,0.48360520601272583,YCR014C,0.0,0.83,0
172,YNL307C,0.5868691802024841,YNL307C,0.0,2.39,1
173,YCR065W,0.21288375556468964,YCR065W,0.0,0.77,0
174,YOR062C,0.37847983837127686,YOR062C,0.0,1.12,0
175,YMR085W,0.6378540992736816,YMR085W,0.0,0.55,0
176,YKL182W,0.939545214176178,YKL182W,1.0,6.28,1
177,YFR010W,0.5537401437759399,YFR010W,0.0,2.15,1
178,YGR209C,0.7956482768058777,YGR209C,0.89,16.2,1
179,YLR199C,0.3450476825237274,YLR199C,0.0,1.05,0
180,YNL301C,0.5274329781532288,YNL301C,0.0,14.3,1
181,YEL044W,0.2604098618030548,YEL044W,0.0,1.8,0
182,YIL053W,0.9447886943817139,YIL053W,1.0,17.56,1
183,YJR039W,0.2464529275894165,YJR039W,0.0,0.53,0
184,YOR264W,0.5467714667320251,YOR264W,0.86,0.97,0
185,YHR184W,0.3983447253704071,YHR184W,0.21,0.55,0
186,YOR302W,0.4664907455444336,YOR302W,0.0,2.03,0
187,YAR008W,0.5345997214317322,YAR008W,0.0,2.4,0
188,YIL138C,0.589637041091919,YIL138C,0.0,3.35,1
189,YPR055W,0.5270571112632751,YPR055W,0.0,1.0,1
190,YDL078C,0.5939931273460388,YDL078C,0.0,2.97,1
191,YGR154C,0.42346975207328796,YGR154C,0.0,0.45,0
192,YDR466W,0.48051851987838745,YDR466W,0.0,0.7,0
193,YKR091W,0.40838226675987244,YKR091W,0.0,2.68,0
194,YHR056C,0.7552574276924133,YHR056C,0.88,0.94,0
195,YDR263C,0.4456818699836731,YDR263C,0.0,0.34,0
196,YGL194C,0.47206178307533264,YGL194C,0.26,0.38,0
197,YMR025W,0.34521806240081787,YMR025W,0.0,0.82,0
198,YPL091W,0.7232082486152649,YPL091W,0.69,2.18,1
199,YNL084C,0.18569307029247284,YNL084C,0.0,1.96,1
200,YDR447C,0.6353698968887329,YDR447C,0.0,33.98,1
201,YBR211C,0.17776066064834595,YBR211C,0.0,1.26,0
202,YNL093W,0.6063588857650757,YNL093W,0.39,0.34,0
203,YNL022C,0.6537618041038513,YNL022C,0.21,1.2,0
204,YHL006C,0.27419793605804443,YHL006C,0.0,0.43,0
205,YGR296W,0.22908397018909454,YGR296W,0.0,3.28,0
206,YMR109W,0.5799053311347961,YMR109W,0.0,0.83,1
207,YDL202W,0.3564152419567108,YDL202W,0.0,1.07,0
208,YML021C,0.47070637345314026,YML021C,0.0,0.92,0
209,YDR288W,0.3249427378177643,YDR288W,0.0,0.76,0
210,YOL040C,0.9446866512298584,YOL040C,1.0,55.49,1
211,YKR064W,0.3324286937713623,YKR064W,0.0,0.57,0
212,YDR097C,0.6195434927940369,YDR097C,0.2,0.92,1
213,YLL060C,0.6331892609596252,YLL060C,0.0,0.65,0
214,YPR115W,0.4599752426147461,YPR115W,0.0,1.68,0
215,YIL024C,0.17776066064834595,YIL024C,0.0,0.45,0
216,YDL141W,0.522074818611145,YDL141W,0.26,0.81,1
217,YBL054W,0.28866562247276306,YBL054W,0.0,1.21,0
218,YNL166C,0.258239209651947,YNL166C,0.0,0.93,1
219,YLR163C,0.5976905822753906,YLR163C,0.0,1.01,1
220,YIL033C,0.510373055934906,YIL033C,0.0,2.01,1
221,YOL081W,0.9084845185279846,YOL081W,1.0,1.74,1
222,YLR016C,0.45728808641433716,YLR016C,0.0,1.13,0
223,YGR203W,0.4059756398200989,YGR203W,0.0,0.99,0
224,YOR166C,0.2724042534828186,YOR166C,0.0,1.21,0
225,YDR077W,0.4101521968841553,YDR077W,0.0,25.25,0
226,YDL025C,0.22713492810726166,YDL025C,0.0,0.53,0
227,YER099C,0.5403138995170593,YER099C,0.0,1.0,1
228,YFL044C,0.27393460273742676,YFL044C,0.0,1.03,0
229,YMR003W,0.17776066064834595,YMR003W,0.0,1.02,0
230,YGR108W,0.29448410868644714,YGR108W,0.0,1.59,0
231,YHR199C,0.41948938369750977,YHR199C,0.0,1.06,1
232,YJR076C,0.431978702545166,YJR076C,0.0,1.39,1
233,YIL011W,0.3564406931400299,YIL011W,0.0,1.92,0
234,YPL052W,0.5393303036689758,YPL052W,0.0,0.8,0
235,YPR046W,0.24319198727607727,YPR046W,0.0,0.71,0
236,YNL088W,0.4491605758666992,YNL088W,0.0,2.43,1
237,YIL114C,0.6991569399833679,YIL114C,0.59,0.95,0
238,YHR201C,0.2160186618566513,YHR201C,0.0,1.41,1
239,YGR083C,0.38053402304649353,YGR083C,0.0,2.23,1
240,YOR006C,0.49085599184036255,YOR006C,0.0,0.96,0
241,YLL058W,0.5715094208717346,YLL058W,0.0,0.45,0
242,YJL109C,0.9448638558387756,YJL109C,1.0,1.68,1
243,YKR013W,0.49496689438819885,YKR013W,0.0,2.17,0
244,YGR252W,0.5565195083618164,YGR252W,0.0,1.72,0
245,YOR075W,0.35538581013679504,YOR075W,0.0,0.91,0
246,YGL244W,0.2900148630142212,YGL244W,0.0,1.64,1
247,YNL173C,0.33782047033309937,YNL173C,0.25,0.65,1
248,YLR270W,0.22078751027584076,YLR270W,0.0,1.09,1
249,YGR044C,0.40269502997398376,YGR044C,0.0,1.6,0
250,YPL260W,0.3783908188343048,YPL260W,0.0,1.11,1
251,YJL041W,0.6283329725265503,YJL041W,0.0,1.26,1
252,YDR226W,0.9448248744010925,YDR226W,1.0,17.0,1
253,YHR128W,0.6378540992736816,YHR128W,0.0,4.51,1
254,YIL135C,0.43835899233818054,YIL135C,0.0,1.28,0
255,YOR330C,0.905773937702179,YOR330C,0.87,0.89,0
256,YML006C,0.40321192145347595,YML006C,0.0,1.27,0
257,YGL221C,0.4050998389720917,YGL221C,0.0,2.44,1
258,YDR260C,0.3443772494792938,YDR260C,0.0,0.79,0
259,YMR237W,0.4186735153198242,YMR237W,0.0,0.99,1
260,YOR326W,0.7323846817016602,YOR326W,0.61,2.15,1
261,YDR382W,0.9446981549263,YDR382W,1.0,84.12,1
262,YHR100C,0.5285056829452515,YHR100C,0.0,0.76,0
263,YKL176C,0.5058943629264832,YKL176C,0.0,1.07,0
264,YPL175W,0.47697386145591736,YPL175W,0.2,0.79,0
265,YML020W,0.34446412324905396,YML020W,0.0,0.97,0
266,YLR117C,0.534524142742157,YLR117C,0.0,0.75,0
267,YOR134W,0.42809852957725525,YOR134W,0.0,1.81,0
268,YFR040W,0.6362498998641968,YFR040W,0.79,0.87,1
269,YDR477W,0.2745690643787384,YDR477W,0.0,1.07,1
270,YLL067C,0.28292784094810486,YLL067C,0.0,1.9,0
271,YBR155W,0.2332988679409027,YBR155W,0.0,1.26,0
272,YPR169W,0.27805039286613464,YPR169W,0.0,1.96,1
273,YPR187W,0.4765145480632782,YPR187W,0.0,4.43,1
274,YPR106W,0.31418168544769287,YPR106W,0.0,1.2,0
275,YPR144C,0.5533354878425598,YPR144C,0.0,1.57,1
276,YJL060W,0.5051619410514832,YJL060W,0.0,0.68,1
277,YOL126C,0.5315344333648682,YOL126C,0.0,1.76,1
278,YFR043C,0.6140820980072021,YFR043C,0.0,0.94,0
279,YDL061C,0.6033179759979248,YDL061C,0.0,18.54,1
280,YMR062C,0.37847980856895447,YMR062C,0.0,0.93,1
281,YLR197W,0.5343664288520813,YLR197W,0.0,10.72,1
282,YOL072W,0.4840830862522125,YOL072W,0.0,0.76,0
283,YMR048W,0.2555467188358307,YMR048W,0.0,0.54,0
284,YOR179C,0.5853020548820496,YOR179C,0.0,1.36,0
285,YDR448W,0.5419366359710693,YDR448W,0.0,1.35,0
286,YOR127W,0.31064876914024353,YOR127W,0.0,0.92,0
287,YAR066W,0.17776066064834595,YAR066W,0.0,0.9,0
288,YMR114C,0.4271547198295593,YMR114C,0.0,0.43,1
289,YDR210W,0.203803151845932,YDR210W,0.0,4.31,0
290,YGR130C,0.6214826703071594,YGR130C,0.32,1.17,1
291,YML085C,0.9035487174987793,YML085C,0.99,2.76,1
292,YAR010C,0.17776066064834595,YAR010C,0.0,5.15,1
293,YIL028W,0.17776066064834595,YIL028W,0.0,0.29,0
294,YER077C,0.511751115322113,YER077C,0.58,0.68,0
295,YHR164C,0.9343481659889221,YHR164C,1.0,1.89,0
296,YDR139C,0.5643256306648254,YDR139C,0.0,4.18,0
297,YBR024W,0.5561197996139526,YBR024W,0.0,0.99,0
298,YGR151C,0.18475034832954407,YGR151C,0.0,2.44,0
299,YBR105C,0.5242486596107483,YBR105C,0.0,1.33,0
300,YMR128W,0.44081008434295654,YMR128W,0.0,1.69,1
301,YDR533C,0.6115281581878662,YDR533C,0.0,1.89,1
302,YLR363C,0.38376384973526,YLR363C,0.0,0.97,0
303,YDL024C,0.6154279112815857,YDL024C,0.0,0.69,0
304,YBR109C,0.6078974604606628,YBR109C,0.0,5.96,1
305,YPL141C,0.7989776134490967,YPL141C,0.95,0.86,0
306,YLR027C,0.6139203906059265,YLR027C,0.0,5.79,1
307,YOR237W,0.5416339039802551,YOR237W,0.0,0.34,0
308,YHL030W,0.6215335726737976,YHL030W,0.0,1.28,1
309,YDL004W,0.6378540992736816,YDL004W,0.0,4.04,1
310,YPR163C,0.9246863126754761,YPR163C,0.97,4.86,1
311,YJL162C,0.38951829075813293,YJL162C,0.0,0.71,0
312,YDR183W,0.6378540992736816,YDR183W,0.0,0.65,0
313,YBR033W,0.19279643893241882,YBR033W,0.0,1.28,0
314,YGL214W,0.5267272591590881,YGL214W,0.0,0.81,0
315,YGR123C,0.43336471915245056,YGR123C,0.0,1.52,1
316,YOL014W,0.49195602536201477,YOL014W,0.0,1.25,0
317,YHR070W,0.5992713570594788,YHR070W,0.0,1.39,1
318,YMR321C,0.5828895568847656,YMR321C,0.0,5.22,0
319,YGR182C,0.21854296326637268,YGR182C,0.0,3.12,0
320,YMR198W,0.23105701804161072,YMR198W,0.0,0.63,0
321,YLR052W,0.29137682914733887,YLR052W,0.0,1.28,0
322,YOR162C,0.41798463463783264,YOR162C,0.0,0.67,0
323,YMR152W,0.5442644953727722,YMR152W,0.0,0.85,1
324,YKL218C,0.6307738423347473,YKL218C,0.0,0.45,1
325,YDR381W,0.36211898922920227,YDR381W,0.0,5.22,1
326,YPR070W,0.24235069751739502,YPR070W,0.0,0.77,0
327,YOR173W,0.5561529397964478,YOR173W,0.0,1.18,1
328,YOR178C,0.1913236826658249,YOR178C,0.0,0.48,0
329,YHL049C,0.20397421717643738,YHL049C,0.0,0.71,0
330,YMR024W,0.38167840242385864,YMR024W,0.0,1.08,1
331,YER084W,0.2273203432559967,YER084W,0.0,0.38,0
332,YJL080C,0.9448221325874329,YJL080C,1.0,3.36,1
333,YIL051C,0.9157055020332336,YIL051C,1.0,12.67,1
334,YDR512C,0.4301050007343292,YDR512C,0.38,1.28,0
335,YBR089W,0.6378540992736816,YBR089W,0.0,1.14,0
336,YIL061C,0.6059871315956116,YIL061C,0.0,0.37,0
337,YGR034W,0.93895423412323,YGR034W,0.96,30.79,1
338,YOL143C,0.500523030757904,YOL143C,0.0,5.3,1
339,YPL085W,0.8688056468963623,YPL085W,0.99,1.57,1
340,YDR354W,0.568315863609314,YDR354W,0.0,0.98,1
341,YHR019C,0.9447957277297974,YHR019C,1.0,6.95,1
342,YJR063W,0.3760223388671875,YJR063W,0.29,2.57,0
343,YLR327C,0.1918494701385498,YLR327C,0.0,4.4,1
344,YBL003C,0.5197151303291321,YBL003C,0.0,19.58,1
345,YGR126W,0.22035346925258636,YGR126W,0.0,0.41,0
346,YMR201C,0.4335116744041443,YMR201C,0.0,1.2,0
347,YFR029W,0.5979347229003906,YFR029W,0.0,0.33,0
348,YDR418W,0.6333701610565186,YDR418W,0.0,39.74,1
349,YDR457W,0.8631556034088135,YDR457W,0.83,1.31,1
350,YOR374W,0.5490072965621948,YOR374W,0.0,1.23,1
351,YMR015C,0.5357303023338318,YMR015C,0.0,2.23,1
352,YIR041W,0.1822117269039154,YIR041W,0.0,0.58,0
353,YNL096C,0.9448621273040771,YNL096C,1.0,18.59,1
354,YNL168C,0.5230032801628113,YNL168C,0.0,1.73,1
355,YLR349W,0.314455509185791,YLR349W,0.0,0.48,0
356,YBL047C,0.3364112377166748,YBL047C,0.0,3.07,1
357,YOR089C,0.5351981520652771,YOR089C,0.0,1.56,1
358,YJL024C,0.24593624472618103,YJL024C,0.0,0.65,0
359,YBR056W,0.47540733218193054,YBR056W,0.0,2.53,1
360,YNR011C,0.296137273311615,YNR011C,0.0,1.34,0
361,YJL213W,0.5492281913757324,YJL213W,0.0,0.74,0
362,YPR172W,0.17776066064834595,YPR172W,0.0,0.86,1
363,YOL087C,0.44110047817230225,YOL087C,0.22,1.07,0
364,YER164W,0.4456077218055725,YER164W,0.54,1.69,1
365,YPL233W,0.34223777055740356,YPL233W,0.0,0.71,0
366,YGL155W,0.5773574709892273,YGL155W,0.0,0.73,0
367,YOR210W,0.42725637555122375,YOR210W,0.0,5.99,1
368,YBR052C,0.5088481903076172,YBR052C,0.0,1.95,1
369,YEL018W,0.1865653693675995,YEL018W,0.0,4.01,0
370,YDL137W,0.5437809228897095,YDL137W,0.0,9.22,1
371,YGR025W,0.314455509185791,YGR025W,0.0,1.6,0
372,YBL079W,0.4528887867927551,YBL079W,0.0,1.43,1
373,YDR197W,0.3115677237510681,YDR197W,0.0,0.65,0
374,YPL154C,0.24983245134353638,YPL154C,0.0,13.31,1
375,YOL089C,0.18836139142513275,YOL089C,0.0,1.25,0
376,YOL029C,0.6378540992736816,YOL029C,0.0,1.32,0
377,YLR175W,0.5436506271362305,YLR175W,0.0,6.79,1
378,YLL045C,0.5534720420837402,YLL045C,0.0,30.6,1
379,YDR101C,0.7138943672180176,YDR101C,0.75,2.56,1
380,YNL069C,0.9447441101074219,YNL069C,1.0,20.84,1
381,YER045C,0.2463693469762802,YER045C,0.0,1.42,0
382,YGR133W,0.4200603663921356,YGR133W,0.0,0.96,0
383,YMR077C,0.3494919538497925,YMR077C,0.0,1.5,0
384,YHL025W,0.37864968180656433,YHL025W,0.0,1.14,0
385,YKL041W,0.6011050343513489,YKL041W,0.23,0.9,0
386,YHR147C,0.30487048625946045,YHR147C,0.0,0.83,0
387,YER104W,0.5449489951133728,YER104W,0.0,0.6,0
388,YJL110C,0.41953375935554504,YJL110C,0.0,1.58,0
389,YPR120C,0.5597618818283081,YPR120C,0.0,1.28,0
390,YPR176C,0.6018273830413818,YPR176C,0.0,1.3,0
391,YML070W,0.4443179965019226,YML070W,0.0,1.31,1
392,YNL001W,0.6378540992736816,YNL001W,0.0,1.47,1
393,YML032C,0.19064301252365112,YML032C,0.0,0.75,0
394,YLR260W,0.45878538489341736,YLR260W,0.0,1.1,0
395,YML016C,0.22464951872825623,YML016C,0.0,3.27,1
396,YJL044C,0.6144342422485352,YJL044C,0.0,0.8,0
397,YML040W,0.2922443151473999,YML040W,0.0,2.86,1
398,YHR200W,0.6378540992736816,YHR200W,0.0,2.83,1
399,YMR229C,0.6067292094230652,YMR229C,0.0,3.16,1
400,YGL063W,0.37847983837127686,YGL063W,0.0,0.52,0
401,YOR322C,0.2084263563156128,YOR322C,0.0,0.9,0
402,YDR091C,0.8562315106391907,YDR091C,0.91,2.34,1
403,YBR167C,0.43923673033714294,YBR167C,0.0,0.84,0
404,YGR129W,0.38977840542793274,YGR129W,0.0,0.9,0
405,YHR115C,0.43679237365722656,YHR115C,0.0,0.79,0
406,YGL003C,0.39025717973709106,YGL003C,0.0,0.4,0
407,YGL029W,0.5487058758735657,YGL029W,0.0,2.8,0
408,YPR048W,0.8467596173286438,YPR048W,0.87,0.92,0
409,YML011C,0.50620037317276,YML011C,0.58,0.99,0
410,YOL164W,0.289073646068573,YOL164W,0.0,0.44,0
411,YBR226C,0.314455509185791,YBR226C,0.0,0.9,0
412,YKL084W,0.49961233139038086,YKL084W,0.39,1.72,0
413,YPL114W,0.314455509185791,YPL114W,0.0,0.57,0
414,YNL144C,0.19981327652931213,YNL144C,0.0,0.65,0
415,YIL041W,0.49661946296691895,YIL041W,0.0,2.79,1
416,YER062C,0.5858691334724426,YER062C,0.0,3.53,1
417,YOL011W,0.5750112533569336,YOL011W,0.0,0.81,0
418,YIR035C,0.6112277507781982,YIR035C,0.0,1.68,0
419,YGR272C,0.314455509185791,YGR272C,0.0,2.4,0
420,YJL223C,0.28840115666389465,YJL223C,0.0,0.84,0
421,YMR210W,0.528252124786377,YMR210W,0.0,0.53,0
422,YLL066C,0.17776066064834595,YLL066C,0.0,1.95,0
423,YBR181C,0.5865633487701416,YBR181C,0.0,30.04,1
424,YKR074W,0.5919207334518433,YKR074W,0.0,4.57,1
