,accession,pred_prob,protein,protein_probability,mRNA,y
327,YLR287C,0.37261465191841125,YLR287C,0.3,0.85,1
328,YIL002C,0.338730126619339,YIL002C,0.69,0.8,0
329,YML057W,0.1975213587284088,YML057W,0.28,1.25,1
330,YLR186W,0.359394371509552,YLR186W,0.0,3.03,1
331,YKL035W,0.9454232454299927,YKL035W,1.0,5.16,1
332,YBL090W,0.1664406806230545,YBL090W,0.0,1.22,0
333,YDR353W,0.878864049911499,YDR353W,1.0,9.39,1
334,YGL017W,0.359394371509552,YGL017W,0.0,0.52,0
335,YDR283C,0.26821550726890564,YDR283C,0.43,0.87,1
336,YPL014W,0.1442931592464447,YPL014W,0.0,1.5,0
337,YML102W,0.4566364586353302,YML102W,0.55,0.84,0
338,YLR085C,0.34996530413627625,YLR085C,0.0,0.9,0
339,YGL063W,0.359394371509552,YGL063W,0.0,0.52,0
340,YOR250C,0.1742829829454422,YOR250C,0.0,1.04,0
341,YLR052W,0.8702476620674133,YLR052W,0.99,1.28,0
342,YBL060W,0.5556612610816956,YBL060W,0.91,0.76,0
343,YIL062C,0.9422834515571594,YIL062C,1.0,3.58,1
344,YGL232W,0.2895132899284363,YGL232W,0.69,1.84,1
345,YDR030C,0.37503448128700256,YDR030C,0.32,1.12,0
346,YDR538W,0.5918993949890137,YDR538W,0.95,0.83,0
347,YLR441C,0.9443210363388062,YLR441C,1.0,25.88,1
348,YCL016C,0.39034005999565125,YCL016C,0.93,0.65,0
349,YDR325W,0.3094418942928314,YDR325W,0.24,0.94,1
350,YIL051C,0.9417900443077087,YIL051C,1.0,12.67,1
351,YJL010C,0.5782618522644043,YJL010C,0.71,1.39,1
352,YER178W,0.9425226449966431,YER178W,1.0,9.38,1
353,YHR077C,0.5828258395195007,YHR077C,0.8,0.75,1
354,YLR165C,0.19471892714500427,YLR165C,0.0,0.82,0
355,YJR059W,0.4379078447818756,YJR059W,0.96,1.82,1
356,YLR427W,0.24016323685646057,YLR427W,0.0,1.85,0
357,YGR163W,0.3458695113658905,YGR163W,0.0,0.71,0
358,YDR238C,0.9435071349143982,YDR238C,1.0,2.54,1
359,YBL052C,0.5238315463066101,YBL052C,0.87,0.94,0
360,YNL177C,0.359394371509552,YNL177C,0.0,1.95,1
361,YGL234W,0.934551477432251,YGL234W,1.0,3.22,1
362,YCR076C,0.359394371509552,YCR076C,0.0,0.98,0
363,YNL211C,0.359394371509552,YNL211C,0.0,1.25,0
364,YML042W,0.23633667826652527,YML042W,0.36,0.4,1
365,YBL002W,0.2205112725496292,YBL002W,0.0,10.55,1
366,YPL080C,0.1446971595287323,YPL080C,0.0,0.61,0
367,YDR418W,0.9427000880241394,YDR418W,1.0,39.74,1
368,YNL288W,0.22345362603664398,YNL288W,0.0,1.19,1
369,YDL021W,0.359394371509552,YDL021W,0.0,0.32,1
370,YPL052W,0.359394371509552,YPL052W,0.0,0.8,0
371,YFL009W,0.6072510480880737,YFL009W,0.96,1.0,0
372,YLR132C,0.19184426963329315,YLR132C,0.0,1.01,0
373,YOL022C,0.9399873614311218,YOL022C,1.0,1.67,1
374,YER132C,0.9362495541572571,YER132C,0.99,0.74,0
375,YLR265C,0.34244075417518616,YLR265C,0.85,0.91,0
376,YMR025W,0.359394371509552,YMR025W,0.0,0.82,0
377,YOR112W,0.37423866987228394,YOR112W,0.81,0.81,1
378,YDL111C,0.9347319602966309,YDL111C,0.98,1.87,1
379,YMR288W,0.3723311722278595,YMR288W,0.42,0.66,1
380,YOL161C,0.13903412222862244,YOL161C,0.0,0.25,0
381,YPR119W,0.4438153803348541,YPR119W,0.73,1.08,0
382,YNL299W,0.5246305465698242,YNL299W,0.83,0.8,0
383,YMR185W,0.359394371509552,YMR185W,0.0,0.9,1
384,YBR151W,0.42197856307029724,YBR151W,0.97,2.05,1
385,YPR108W,0.9419739842414856,YPR108W,1.0,2.55,1
386,YDR020C,0.24303467571735382,YDR020C,0.0,0.91,0
387,YPL120W,0.19214387238025665,YPL120W,0.0,0.73,0
388,YPL190C,0.34780728816986084,YPL190C,0.87,1.1,1
389,YKL135C,0.359394371509552,YKL135C,0.0,1.24,1
390,YIL018W,0.359394371509552,YIL018W,0.0,38.32,1
391,YMR229C,0.9427937269210815,YMR229C,1.0,3.16,1
392,YER015W,0.26575374603271484,YER015W,0.0,0.37,0
393,YFL049W,0.4763818383216858,YFL049W,0.58,1.0,0
394,YHR158C,0.3843265771865845,YHR158C,0.64,0.87,1
395,YJR021C,0.14491739869117737,YJR021C,0.22,0.8,0
396,YOR167C,0.359394371509552,YOR167C,0.0,17.41,1
397,YOR382W,0.14837747812271118,YOR382W,0.0,1.76,0
398,YOL148C,0.8969327807426453,YOL148C,1.0,0.8,0
399,YER123W,0.5207953453063965,YER123W,0.85,0.84,1
400,YER012W,0.9420082569122314,YER012W,1.0,5.09,1
401,YDL153C,0.9432743787765503,YDL153C,1.0,3.84,1
402,YFL058W,0.31740257143974304,YFL058W,0.0,0.22,0
403,YGR054W,0.9430617690086365,YGR054W,1.0,1.73,1
404,YAL068C,0.1487785279750824,YAL068C,0.0,0.99,0
405,YNL208W,0.5761186480522156,YNL208W,1.0,4.93,1
406,YBR211C,0.2200036197900772,YBR211C,0.0,1.26,0
407,YOR253W,0.2505413293838501,YOR253W,0.0,4.03,1
408,YKR089C,0.2381526231765747,YKR089C,0.51,1.29,1
409,YHR018C,0.9458264708518982,YHR018C,1.0,1.94,1
410,YJL014W,0.9418667554855347,YJL014W,1.0,2.78,1
411,YGR270W,0.36929214000701904,YGR270W,0.27,1.35,1
412,YHR215W,0.16208690404891968,YHR215W,0.0,0.99,0
413,YGL164C,0.359394371509552,YGL164C,0.0,0.74,0
414,YFR011C,0.22909988462924957,YFR011C,0.0,1.62,0
415,YDR037W,0.9386322498321533,YDR037W,1.0,7.93,1
416,YDR142C,0.29505977034568787,YDR142C,0.0,0.62,0
417,YPR186C,0.2581322193145752,YPR186C,0.67,0.79,0
418,YPL160W,0.9409087300300598,YPL160W,1.0,4.09,1
419,YML040W,0.359394371509552,YML040W,0.0,2.86,1
420,YHR218W,0.14031973481178284,YHR218W,0.0,0.46,0
421,YGR286C,0.5946594476699829,YGR286C,0.73,1.23,0
422,YHR033W,0.15100215375423431,YHR033W,0.0,0.57,0
423,YNL273W,0.16678057610988617,YNL273W,0.0,0.85,0
424,YBR052C,0.1728973090648651,YBR052C,0.0,1.95,1
425,YOR361C,0.9447736144065857,YOR361C,1.0,3.95,1
426,YFL057C,0.1515364795923233,YFL057C,0.0,1.16,0
